W E1 E1 E1
0 17.4336 17.4353 16.1896
4.14938 17.4337 17.4355 16.1897
8.29876 17.4342 17.4359 16.1901
12.4481 17.435 17.4366 16.1907
16.5975 17.4362 17.4376 16.1916
20.7469 17.4376 17.4388 16.1928
24.8963 17.4394 17.4404 16.1942
29.0456 17.4415 17.4422 16.1959
33.195 17.4439 17.4443 16.1978
37.3444 17.4466 17.4467 16.2
41.4938 17.4497 17.4494 16.2024
45.6432 17.4531 17.4524 16.2051
49.7925 17.4567 17.4556 16.208
53.9419 17.4607 17.4591 16.2112
58.0913 17.4651 17.4629 16.2147
62.2407 17.4697 17.4669 16.2184
66.39 17.4746 17.4712 16.2223
70.5394 17.4799 17.4758 16.2265
74.6888 17.4854 17.4806 16.231
78.8382 17.4913 17.4857 16.2357
82.9876 17.4975 17.4911 16.2407
87.1369 17.5039 17.4967 16.2459
91.2863 17.5107 17.5026 16.2514
95.4357 17.5178 17.5087 16.2572
99.5851 17.5251 17.515 16.2631
103.734 17.5327 17.5216 16.2694
107.884 17.5407 17.5285 16.2759
112.033 17.5489 17.5355 16.2826
116.183 17.5573 17.5428 16.2896
120.332 17.5661 17.5504 16.2969
124.481 17.5751 17.5581 16.3044
128.631 17.5844 17.566 16.3121
132.78 17.5939 17.5742 16.3201
136.929 17.6037 17.5825 16.3283
141.079 17.6137 17.5911 16.3368
145.228 17.6239 17.5998 16.3455
149.378 17.6344 17.6087 16.3545
153.527 17.6451 17.6177 16.3637
157.676 17.656 17.6269 16.3731
161.826 17.6671 17.6363 16.3828
165.975 17.6784 17.6458 16.3927
170.124 17.6899 17.6554 16.4028
174.274 17.7016 17.6651 16.4132
178.423 17.7134 17.675 16.4237
182.573 17.7254 17.6849 16.4345
186.722 17.7375 17.6949 16.4455
190.871 17.7497 17.7049 16.4568
195.021 17.762 17.715 16.4682
199.17 17.7744 17.7252 16.4799
203.32 17.7869 17.7353 16.4917
207.469 17.7994 17.7454 16.5037
211.618 17.812 17.7555 16.5159
215.768 17.8246 17.7655 16.5283
219.917 17.8372 17.7755 16.5409
224.066 17.8497 17.7854 16.5536
228.216 17.8622 17.7951 16.5665
232.365 17.8746 17.8047 16.5796
236.515 17.8869 17.8141 16.5928
240.664 17.899 17.8233 16.6061
244.813 17.911 17.8323 16.6195
248.963 17.9228 17.841 16.6331
253.112 17.9343 17.8495 16.6467
257.261 17.9455 17.8575 16.6604
261.411 17.9565 17.8652 16.6742
265.56 17.9671 17.8725 16.6881
269.71 17.9772 17.8794 16.7019
273.859 17.987 17.8857 16.7158
278.008 17.9962 17.8914 16.7297
282.158 18.0049 17.8966 16.7436
286.307 18.0129 17.9011 16.7575
290.456 18.0204 17.905 16.7712
294.606 18.027 17.908 16.7849
298.755 18.0329 17.9103 16.7985
302.905 18.038 17.9116 16.8119
307.054 18.0421 17.912 16.8252
311.203 18.0452 17.9114 16.8382
315.353 18.0472 17.9097 16.8511
319.502 18.0481 17.9069 16.8636
323.651 18.0477 17.9028 16.8758
327.801 18.046 17.8973 16.8877
331.95 18.0428 17.8905 16.8992
336.1 18.0381 17.8822 16.9103
340.249 18.0318 17.8723 16.9208
344.398 18.0237 17.8607 16.9309
348.548 18.0138 17.8473 16.9403
352.697 18.0019 17.8321 16.9491
356.846 17.9879 17.8148 16.9572
360.996 17.9717 17.7955 16.9645
365.145 17.9532 17.774 16.9709
369.295 17.9321 17.7502 16.9764
373.444 17.9085 17.7239 16.981
377.593 17.8821 17.6951 16.9844
381.743 17.8528 17.6636 16.9867
385.892 17.8204 17.6294 16.9878
390.041 17.7849 17.5922 16.9875
394.191 17.7459 17.552 16.9858
398.34 17.7035 17.5086 16.9826
402.49 17.6575 17.462 16.9777
406.639 17.6076 17.4119 16.9711
410.788 17.5537 17.3583 16.9626
414.938 17.4957 17.301 16.952
